L,a,b,Label
91,132,133,4284
88,134,131,4284
92,132,132,4284
92,133,130,4284
87,139,126,4284
89,138,126,4284
92,132,130,4284
91,131,132,4284
87,135,129,4284
84,140,125,4284
87,145,117,4284
91,152,108,4284
84,161,102,4284
81,164,100,4284
81,164,101,4284
79,163,103,4284
74,165,102,4284
74,167,101,4284
76,166,100,4284
78,167,98,4284
83,170,93,4284
84,172,92,4284
84,174,92,4284
85,175,94,4284
85,176,97,4284
86,176,102,4284
86,176,105,4284
85,176,109,4284
80,173,110,4284
76,173,106,4284
79,173,97,4284
76,170,97,4284
87,129,137,4284
88,126,139,4284
87,125,138,4284
87,125,138,4284
86,126,137,4284
84,127,137,4284
86,127,138,4284
99,118,142,4284
95,121,141,4284
94,121,141,4284
98,123,138,4284
104,119,140,4284
104,120,139,4284
106,118,138,4284
101,122,136,4284
109,118,137,4284
96,126,132,4284
92,127,133,4284
94,124,132,4284
80,142,120,4284
74,155,112,4284
79,151,112,4284
87,143,115,4284
86,145,115,4284
80,151,111,4284
79,150,113,4284
74,152,113,4284
70,153,113,4284
68,145,122,4284
80,135,128,4284
87,135,125,4284
88,137,122,4284
87,151,108,4284
78,168,97,4284
78,170,96,4284
75,169,100,4284
62,163,114,4284
58,156,124,4284
61,154,125,4284
82,142,128,4284
89,137,129,4284
87,131,134,4284
92,123,139,4284
90,121,140,4284
81,132,132,4284
65,149,121,4284
71,160,106,4284
75,171,96,4284
76,173,96,4284
78,174,96,4284
79,175,96,4284
81,176,96,4284
81,176,98,4284
82,176,102,4284
82,176,105,4284
81,176,109,4284
78,174,111,4284
75,173,109,4284
75,173,104,4284
79,174,97,4284
79,172,95,4284
76,170,98,4284
66,165,109,4284
62,160,119,4284
57,157,123,4284
63,153,126,4284
76,149,124,4284
89,139,127,4284
89,137,128,4284
87,134,131,4284
96,135,125,4284
98,136,121,4284
88,134,125,4284
90,132,126,4284
89,133,126,4284
88,134,125,4284
90,131,127,4284
88,133,125,4284
87,135,124,4284
90,132,126,4284
94,132,125,4284
98,127,128,4284
97,128,129,4284
98,127,128,4284
89,136,122,4284
88,130,129,4284
74,128,138,4284
71,126,140,4284
75,127,136,4284
67,151,116,4284
73,155,112,4284
79,149,116,4284
63,150,121,4284
63,152,123,4284
60,156,123,4284
68,167,118,4284
70,167,116,4284
69,163,119,4284
67,163,119,4284
66,157,121,4284
73,145,128,4284
78,140,130,4284
75,138,130,4284
78,130,135,4284
74,134,127,4284
161,109,125,4284
137,126,118,4284
128,133,113,4284
121,141,106,4284
120,136,107,4284
111,141,104,4284
117,135,105,4284
120,131,107,4284
102,144,99,4284
73,130,131,4284
69,134,136,4284
63,152,125,4284
62,154,124,4284
60,156,122,4284
61,155,123,4284
63,152,125,4284
63,147,128,4284
69,140,130,4284
80,139,120,4284
123,129,110,4284
124,133,107,4284
117,140,104,4284
110,147,101,4284
106,151,100,4284
97,154,102,4284
92,158,100,4284
103,147,104,4284
110,140,104,4284
101,142,104,4284
65,157,112,4284
63,162,109,4284
63,161,110,4284
59,156,117,4284
55,153,122,4284
55,148,127,4284
80,125,140,4284
65,158,111,4284
71,167,107,4284
75,164,107,4284
76,164,107,4284
73,164,110,4284
78,155,115,4284
75,142,125,4284
58,146,126,4284
54,149,127,4284
55,158,119,4284
57,161,115,4284
63,165,108,4284
64,163,109,4284
65,164,108,4284
69,165,104,4284
80,173,94,4284
84,175,93,4284
85,175,94,4284
83,173,97,4284
82,170,100,4284
80,170,102,4284
74,165,108,4284
70,163,111,4284
68,164,110,4284
71,165,106,4284
72,167,102,4284
74,171,97,4284
77,174,94,4284
79,175,95,4284
79,175,96,4284
79,175,97,4284
79,175,95,4284
76,172,91,4284
100,146,100,4284
107,140,103,4284
96,145,101,4284
105,137,108,4284
79,160,95,4284
86,157,97,4284
88,156,97,4284
78,173,98,4284
78,173,97,4284
78,173,97,4284
78,173,97,4284
78,173,97,4284
78,173,97,4284
78,173,96,4284
79,173,95,4284
80,174,93,4284
78,173,93,4284
77,172,93,4284
71,171,93,4284
41,160,116,4284
38,154,121,4284
54,161,112,4284
63,162,112,4284
59,162,113,4284
69,167,110,4284
68,165,113,4284
74,167,107,4284
73,168,109,4284
76,168,106,4284
67,148,124,4284
63,158,118,4284
87,164,103,4284
85,150,116,4284
72,163,108,4284
85,159,108,4284
102,142,113,4284
89,136,121,4284
73,153,113,4284
77,150,115,4284
84,142,119,4284
83,149,113,4284
91,141,119,4284
84,150,112,4284
86,150,110,4284
89,141,118,4284
74,155,110,4284
73,156,110,4284
73,155,111,4284
72,158,108,4284
77,152,111,4284
67,164,104,4284
67,167,104,4284
67,167,108,4284
71,161,107,4284
78,145,120,4284
71,162,107,4284
73,169,105,4284
75,170,107,4284
76,170,108,4284
85,175,111,4284
84,175,119,4284
74,172,121,4284
71,171,118,4284
65,168,114,4284
66,162,105,4284
70,159,107,4284
69,166,102,4284
57,161,114,4284
68,167,103,4284
63,164,108,4284
63,164,108,4284
67,167,104,4284
71,169,102,4284
73,170,99,4284
75,171,97,4284
72,169,100,4284
72,170,102,4284
73,170,103,4284
75,172,103,4284
81,174,109,4284
76,173,121,4284
76,173,122,4284
71,172,123,4284
70,172,121,4284
75,174,118,4284
75,174,113,4284
70,172,112,4284
66,171,107,4284
60,168,110,4284
71,171,102,4284
66,167,108,4284
73,170,102,4284
69,169,105,4284
70,171,110,4284
74,176,111,4284
73,174,113,4284
73,175,116,4284
76,179,113,4284
56,168,120,4284
63,171,114,4284
60,169,116,4284
62,167,110,4284
104,145,103,4284
94,146,110,4284
78,124,139,4284
94,145,110,4284
91,155,104,4284
110,130,124,4284
109,131,120,4284
105,132,122,4284
106,131,122,4284
101,134,119,4284
95,143,115,4284
100,140,115,4284
97,139,118,4284
103,132,120,4284
104,131,121,4284
104,132,121,4284
105,130,122,4284
103,131,120,4284
101,132,119,4284
133,129,125,4284
136,129,125,4284
115,140,119,4284
101,147,114,4284
110,136,120,4284
112,131,123,4284
112,130,123,4284
110,131,122,4284
86,134,120,4284
76,147,112,4284
77,157,106,4284
91,139,117,4284
85,146,112,4284
89,143,114,4284
89,145,112,4284
90,143,112,4284
97,141,112,4284
104,137,112,4284
98,140,113,4284
96,144,111,4284
93,149,109,4284
86,149,111,4284
90,138,121,4284
103,126,130,4284
106,120,136,4284
86,139,123,4284
90,134,125,4284
89,136,121,4284
87,139,118,4284
81,146,114,4284
79,149,113,4284
116,134,124,4284
128,135,124,4284
145,121,129,4284
118,139,120,4284
112,139,119,4284
97,140,116,4284
84,139,118,4284
83,141,116,4284
87,154,103,4284
84,160,101,4284
79,138,123,4284
80,124,141,4284
80,135,133,4284
87,141,123,4284
85,150,116,4284
84,154,112,4284
86,146,117,4284
92,144,117,4284
92,149,112,4284
93,138,123,4284
98,128,130,4284
76,171,111,4284
101,164,116,4284
89,162,115,4284
81,160,116,4284
79,153,121,4284
97,127,137,4284
104,122,138,4284
108,122,136,4284
98,139,120,4284
101,139,117,4284
80,142,119,4284
70,148,111,4284
73,143,114,4284
67,143,115,4284
78,142,117,4284
68,154,111,4284
71,160,107,4284
70,162,106,4284
71,164,105,4284
72,164,105,4284
74,165,103,4284
110,143,115,4284
154,132,122,4284
158,129,123,4284
124,136,120,4284
100,154,108,4284
110,139,117,4284
113,131,119,4284
91,143,115,4284
92,141,116,4284
86,148,110,4284
66,157,106,4284
65,152,111,4284
77,152,113,4284
90,145,115,4284
96,137,120,4284
86,144,117,4284
89,144,116,4284
87,147,115,4284
85,147,115,4284
94,139,117,4284
104,130,120,4284
99,137,114,4284
102,133,117,4284
98,139,114,4284
104,132,118,4284
100,133,117,4284
117,128,122,4284
112,126,121,4284
112,126,121,4284
110,126,121,4284
111,126,120,4284
103,132,118,4284
73,157,108,4284
71,167,104,4284
84,152,109,4284
75,167,100,4284
74,167,105,4284
75,167,100,4284
83,149,111,4284
73,168,102,4284
98,140,115,4284
79,161,102,4284
79,172,97,4284
77,171,97,4284
75,168,100,4284
90,144,113,4284
80,163,103,4284
79,158,108,4284
105,137,120,4284
75,169,99,4284
73,168,109,4284
72,168,109,4284
73,167,100,4284
91,147,112,4284
89,134,131,4284
69,167,110,4284
85,177,100,4284
81,173,102,4284
62,163,112,4284
82,166,94,4284
72,167,106,4284
69,167,113,4284
74,169,102,4284
84,166,95,4284
83,150,115,4284
91,157,100,4284
87,160,98,4284
87,157,101,4284
75,168,100,4284
80,173,100,4284
87,177,98,4284
86,176,98,4284
82,175,96,4284
75,173,93,4284
69,169,97,4284
78,149,112,4284
88,136,117,4284
66,162,104,4284
91,140,114,4284
80,150,111,4284
75,169,92,4284
84,161,95,4284
88,146,113,4284
80,144,116,4284
65,161,107,4284
70,161,107,4284
74,161,105,4284
92,143,115,4284
86,144,117,4284
79,167,100,4284
82,154,112,4284
78,165,101,4284
75,168,104,4284
76,168,104,4284
75,170,98,4284
82,175,100,4284
82,174,100,4284
78,172,96,4284
76,169,98,4284
78,166,101,4284
79,172,96,4284
82,175,102,4284
83,176,107,4284
83,176,105,4284
84,175,101,4284
77,172,105,4284
76,171,104,4284
74,168,105,4284
77,169,99,4284
74,169,100,4284
79,173,100,4284
80,174,105,4284
83,176,110,4284
70,169,117,4284
67,166,109,4284
77,170,99,4284
78,172,95,4284
80,173,101,4284
81,174,103,4284
74,170,108,4284
72,167,105,4284
77,168,101,4284
77,170,96,4284
78,172,97,4284
80,174,100,4284
77,172,100,4284
77,170,100,4284
78,169,97,4284
77,171,95,4284
78,172,100,4284
80,173,99,4284
76,171,101,4284
69,163,107,5381
70,165,106,5381
70,164,105,5381
69,161,108,5381
65,159,114,5381
62,162,114,5381
69,168,109,5381
72,171,110,5381
78,176,109,5381
78,177,110,5381
78,177,111,5381
79,177,110,5381
75,173,110,5381
71,170,110,5381
62,165,115,5381
64,165,109,5381
68,166,103,5381
68,167,102,5381
70,166,102,5381
73,162,103,5381
76,160,104,5381
78,156,107,5381
72,157,110,5381
64,160,114,5381
63,163,114,5381
65,164,113,5381
68,166,110,5381
70,167,109,5381
71,168,108,5381
73,170,107,5381
73,170,106,5381
75,171,104,5381
77,172,100,5381
66,167,112,5381
65,166,110,5381
65,166,111,5381
62,165,114,5381
63,166,113,5381
66,167,109,5381
66,168,106,5381
68,169,105,5381
69,170,106,5381
72,172,107,5381
74,173,108,5381
74,174,111,5381
72,173,114,5381
72,173,114,5381
72,172,112,5381
71,172,109,5381
72,172,106,5381
70,170,108,5381
68,168,108,5381
69,168,105,5381
68,166,106,5381
69,164,107,5381
69,165,106,5381
70,164,107,5381
69,164,107,5381
68,165,105,5381
71,167,100,5381
70,167,103,5381
70,166,103,5381
70,166,103,5381
71,168,101,5381
72,166,102,5381
69,163,107,5381
66,163,110,5381
66,164,110,5381
66,164,110,5381
67,165,110,5381
69,166,108,5381
71,168,106,5381
72,168,106,5381
74,170,103,5381
75,171,105,5381
76,172,105,5381
77,172,105,5381
75,171,104,5381
73,170,103,5381
69,169,104,5381
65,167,107,5381
59,164,111,5381
57,163,115,5381
58,163,115,5381
58,162,115,5381
62,163,110,5381
64,164,108,5381
66,165,106,5381
64,165,107,5381
63,164,109,5381
64,164,109,5381
61,165,111,5381
62,164,111,5381
64,164,107,5381
64,165,107,5381
65,164,107,5381
66,164,107,5381
65,165,106,5381
63,166,109,5381
63,167,111,5381
67,169,111,5381
68,171,116,5381
71,173,117,5381
71,175,120,5381
74,174,121,5381
79,148,120,5381
76,140,128,5381
80,131,135,5381
85,132,132,5381
74,147,121,5381
78,145,123,5381
71,151,118,5381
68,153,117,5381
74,141,126,5381
103,111,147,5381
101,112,145,5381
74,133,128,5381
62,146,117,5381
47,160,120,5381
76,156,110,5381
75,162,108,5381
90,142,120,5381
105,131,127,5381
92,135,123,5381
87,144,114,5381
81,150,112,5381
82,149,111,5381
70,154,111,5381
77,146,112,5381
51,149,126,5381
63,142,126,5381
82,141,112,5381
74,139,121,5381
63,145,124,5381
76,141,123,5381
66,153,117,5381
67,154,116,5381
62,154,118,5381
63,151,121,5381
76,132,136,5381
66,141,126,5381
68,136,130,5381
77,133,126,5381
68,147,115,5381
81,140,116,5381
69,162,104,5381
77,147,118,5381
63,165,116,5381
68,168,114,5381
67,168,114,5381
67,168,114,5381
66,168,114,5381
65,168,115,5381
62,166,117,5381
61,166,118,5381
62,166,115,5381
65,169,113,5381
68,171,110,5381
66,170,112,5381
63,170,115,5381
61,169,117,5381
59,168,117,5381
59,168,117,5381
67,171,110,5381
68,170,115,5381
66,169,117,5381
63,168,119,5381
64,168,118,5381
64,167,116,5381
59,164,113,5381
64,143,128,5381
60,144,127,5381
64,145,125,5381
69,146,120,5381
80,142,119,5381
89,136,121,5381
86,139,120,5381
85,139,122,5381
85,141,118,5381
69,166,107,5381
70,168,107,5381
69,168,108,5381
69,168,108,5381
68,167,110,5381
59,164,112,5381
66,141,129,5381
77,132,132,5381
84,136,123,5381
73,146,117,5381
73,142,120,5381
79,138,121,5381
78,143,119,5381
86,136,126,5381
63,152,124,5381
58,157,122,5381
57,158,121,5381
56,159,119,5381
59,154,122,5381
63,145,129,5381
85,134,130,5381
82,141,121,5381
80,136,129,5381
82,138,124,5381
81,138,122,5381
89,133,124,5381
88,135,123,5381
80,133,127,5381
70,143,125,5381
63,166,114,5381
59,164,117,5381
56,154,124,5381
51,158,125,5381
49,158,125,5381
58,151,127,5381
75,143,126,5381
84,149,113,5381
91,148,110,5381
93,151,106,5381
93,151,106,5381
94,149,108,5381
94,154,105,5381
99,148,110,5381
123,128,119,5381
106,135,114,5381
104,135,114,5381
107,132,116,5381
105,135,114,5381
77,147,117,5381
47,163,119,5381
41,161,119,5381
35,156,121,5381
38,147,119,5381
49,151,121,5381
134,126,123,5381
91,167,94,5381
86,167,98,5381
90,153,106,5381
74,164,102,5381
70,165,103,5381
71,164,105,5381
72,168,99,5381
70,166,99,5381
77,160,99,5381
70,143,127,5381
81,131,136,5381
70,142,123,5381
64,148,123,5381
68,146,123,5381
73,143,123,5381
90,129,128,5381
74,147,120,5381
66,155,115,5381
70,168,96,5381
68,169,100,5381
67,171,110,5381
53,163,112,5381
57,159,117,5381
61,163,110,5381
76,160,103,5381
84,146,115,5381
88,155,100,5381
88,157,98,5381
64,160,114,5381
67,166,110,5381
67,166,107,5381
66,165,111,5381
61,164,122,5381
71,168,110,5381
79,147,119,5381
65,157,113,5381
70,170,100,5381
61,165,109,5381
62,163,111,5381
84,140,123,5381
87,139,119,5381
76,158,105,5381
67,167,106,5381
67,168,111,5381
76,172,108,5381
74,171,106,5381
61,165,108,5381
56,160,114,5381
65,168,99,5381
53,163,115,5381
61,167,108,5381
45,162,116,5381
39,158,118,5381
49,161,113,5381
52,163,117,5381
54,164,122,5381
52,164,125,5381
66,169,117,5381
69,170,116,5381
67,169,118,5381
66,168,117,5381
67,168,108,5381
71,168,106,5381
66,168,109,5381
67,168,112,5381
65,168,118,5381
68,169,118,5381
80,175,106,5381
89,178,105,5381
83,178,117,5381
83,178,120,5381
76,175,123,5381
68,172,125,5381
65,171,125,5381
69,173,117,5381
66,171,114,5381
65,170,114,5381
63,170,115,5381
64,170,115,5381
69,169,105,5381
70,170,105,5381
71,170,105,5381
71,170,105,5381
71,170,105,5381
73,170,105,5381
76,171,103,5381
107,158,109,5381
127,156,113,5381
98,176,106,5381
88,177,109,5381
85,177,111,5381
78,175,111,5381
73,173,113,5381
67,171,105,5381
42,161,120,5381
47,160,110,5381
65,169,98,5381
68,169,97,5381
70,170,98,5381
70,169,98,5381
70,168,99,5381
103,150,108,5381
177,112,129,5381
182,109,131,5381
131,129,120,5381
96,157,103,5381
91,158,101,5381
96,149,106,5381
90,154,103,5381
70,168,97,5381
59,167,99,5381
59,169,102,5381
63,171,104,5381
62,171,107,5381
62,171,109,5381
67,172,106,5381
69,173,106,5381
72,173,102,5381
73,174,102,5381
74,172,110,5381
169,132,127,5381
182,120,130,5381
160,124,129,5381
124,141,122,5381
115,139,119,5381
80,169,91,5381
92,153,100,5381
84,145,106,5381
82,145,106,5381
108,133,114,5381
86,153,100,5381
88,152,100,5381
86,156,98,5381
93,151,100,5381
84,163,91,5381
80,169,88,5381
71,165,100,5381
61,156,123,5381
79,157,121,5381
126,157,122,5381
116,152,123,5381
86,152,124,5381
79,152,124,5381
72,151,126,5381
68,153,126,5381
61,154,127,5381
45,154,127,5381
45,153,123,5381
50,159,117,5381
57,163,116,5381
58,163,116,5381
60,163,116,5381
60,163,116,5381
61,162,116,5381
61,164,115,5381
74,169,112,5381
106,165,110,5381
128,149,116,5381
89,173,106,5381
83,173,107,5381
77,172,110,5381
70,170,112,5381
52,166,116,5381
55,167,113,5381
64,169,113,5381
65,169,113,5381
64,168,114,5381
64,167,114,5381
64,167,113,5381
64,167,113,5381
65,167,112,5381
69,168,111,5381
117,149,118,5381
132,142,121,5381
102,158,112,5381
79,166,108,5381
77,158,117,5381
80,147,125,5381
68,138,128,5381
64,143,120,5381
64,153,111,5381
75,144,117,5381
76,143,122,5381
67,152,116,5381
67,154,115,5381
66,156,113,5381
64,162,109,5381
84,165,106,5381
73,158,111,5381
73,158,110,5381
72,159,110,5381
73,157,112,5381
70,167,107,5381
74,171,113,5381
71,170,114,5381
66,168,116,5381
74,171,106,5381
78,172,98,5381
73,168,100,5381
69,163,106,5381
68,161,110,5381
71,166,106,5381
69,168,111,5381
78,175,108,5381
80,176,107,5381
75,172,108,5381
71,169,105,5381
68,166,103,5381
72,168,105,5381
76,171,108,5381
78,172,108,5381
82,174,107,5381
84,175,107,5381
77,172,117,5381
73,172,121,5381
69,173,127,5381
75,176,125,5381
78,177,123,5381
78,178,123,5381
78,177,120,5381
75,175,114,5381
69,170,115,5381
71,169,104,5381
67,163,110,5381
74,150,116,5381
77,163,101,5381
71,167,105,5381
71,167,106,5381
72,168,104,5381
73,167,102,5381
72,151,116,5381
71,154,114,5381
66,162,110,5381
64,165,109,5381
67,165,107,5381
69,167,105,5381
70,166,105,5381
72,167,101,5381
74,169,99,5381
74,169,99,5381
73,167,102,5381
72,167,102,5381
72,167,100,5381
71,165,102,5381
76,165,100,5381
72,167,106,5381
71,168,115,5381
76,171,118,5381
78,172,121,5381
77,172,122,5381
74,171,120,5381
71,169,118,5381
70,167,112,5381
73,166,102,5381
75,152,114,5381
71,158,110,5381
67,167,110,5381
69,167,108,5381
67,161,111,5381
83,157,103,5381
84,158,101,5381
85,142,121,5381
71,165,105,5381
67,167,110,5381
68,167,110,5381
71,169,105,5381
67,167,113,5381
70,169,108,5381
70,169,111,5381
72,170,111,5381
79,174,106,5381
73,171,112,5381
67,168,113,5381
71,168,103,5381
69,165,109,5381
71,167,115,5381
78,171,104,5381
79,172,101,5381
73,169,109,5381
70,167,112,5381
71,168,112,5381
70,167,118,5381
81,174,108,5381
84,176,109,5381
82,175,111,5381
80,173,106,5381
81,174,103,5381
76,171,114,5381
80,173,111,5381
82,174,110,5381
67,167,123,5381
70,168,106,5381
65,162,111,5381
109,144,115,1915
109,144,115,1915
110,143,115,1915
108,146,114,1915
111,144,114,1915
110,145,114,1915
111,147,112,1915
122,146,112,1915
129,145,113,1915
120,148,111,1915
118,149,110,1915
118,149,110,1915
113,151,109,1915
105,154,108,1915
101,156,107,1915
98,155,108,1915
98,156,108,1915
100,157,107,1915
104,157,107,1915
109,154,109,1915
109,154,109,1915
102,157,107,1915
95,158,107,1915
100,157,107,1915
106,155,107,1915
116,151,109,1915
120,147,111,1915
120,147,111,1915
122,145,113,1915
124,144,114,1915
127,141,115,1915
130,139,117,1915
127,142,115,1915
127,145,113,1915
128,145,113,1915
124,146,112,1915
113,150,110,1915
101,155,107,1915
98,158,106,1915
99,160,105,1915
102,161,105,1915
103,160,105,1915
101,160,106,1915
100,161,106,1915
99,161,106,1915
92,163,105,1915
85,165,105,1915
79,167,104,1915
76,165,105,1915
73,164,105,1915
70,164,106,1915
67,164,106,1915
65,165,105,1915
67,165,105,1915
69,166,104,1915
73,168,102,1915
73,168,102,1915
65,165,104,1915
61,163,105,1915
59,162,106,1915
57,160,107,1915
53,159,108,1915
56,160,108,1915
59,159,109,1915
61,160,109,1915
61,161,109,1915
67,163,108,1915
66,162,109,1915
67,162,109,1915
69,162,108,1915
72,162,108,1915
74,162,107,1915
76,162,107,1915
81,164,105,1915
89,163,104,1915
94,162,104,1915
98,161,104,1915
99,159,104,1915
94,158,105,1915
90,157,106,1915
86,157,106,1915
85,157,107,1915
84,157,107,1915
83,157,107,1915
85,156,108,1915
84,156,108,1915
80,156,108,1915
73,156,109,1915
72,156,109,1915
72,158,108,1915
73,158,108,1915
79,160,106,1915
83,162,105,1915
86,161,105,1915
89,161,105,1915
91,162,104,1915
92,162,103,1915
92,160,105,1915
89,156,107,1915
86,154,109,1915
83,153,111,1915
83,151,112,1915
85,147,115,1915
86,146,115,1915
90,144,118,1915
95,142,118,1915
105,143,117,1915
120,140,117,1915
123,138,119,1915
125,137,120,1915
124,138,119,1915
123,140,118,1915
121,144,115,1915
120,142,117,1915
119,140,118,1915
121,137,121,1915
113,147,115,1915
114,145,116,1915
62,144,116,1915
43,137,121,1915
20,136,122,1915
69,129,128,1915
122,126,128,1915
222,108,139,1915
201,112,136,1915
121,155,109,1915
105,152,111,1915
103,149,113,1915
95,143,116,1915
88,144,116,1915
81,143,117,1915
100,141,118,1915
107,141,118,1915
99,143,116,1915
106,142,117,1915
126,145,115,1915
147,138,120,1915
156,125,128,1915
172,110,138,1915
179,104,142,1915
176,104,143,1915
157,118,132,1915
168,112,136,1915
147,125,128,1915
125,143,115,1915
118,145,114,1915
121,143,115,1915
120,145,114,1915
123,143,115,1915
124,141,116,1915
133,136,119,1915
144,127,126,1915
153,119,132,1915
151,120,132,1915
151,116,135,1915
156,111,137,1915
147,118,133,1915
126,129,125,1915
100,145,114,1915
115,131,124,1915
138,122,129,1915
119,148,112,1915
106,156,108,1915
112,151,110,1915
112,151,110,1915
113,150,111,1915
123,142,116,1915
134,137,120,1915
147,123,129,1915
138,132,123,1915
114,149,112,1915
15,120,132,1915
2,130,125,1915
4,131,125,1915
93,147,113,1915
222,119,132,1915
210,107,140,1915
149,152,111,1915
136,155,109,1915
126,156,108,1915
120,156,108,1915
114,154,109,1915
123,148,113,1915
136,136,120,1915
135,131,123,1915
149,120,132,1915
138,126,127,1915
138,125,127,1915
131,128,125,1915
141,124,129,1915
121,147,113,1915
103,157,107,1915
107,155,108,1915
104,156,107,1915
106,155,108,1915
107,154,109,1915
110,152,110,1915
121,146,114,1915
144,125,128,1915
136,125,128,1915
146,119,132,1915
129,135,123,1915
118,147,116,1915
94,161,106,1915
78,161,105,1915
141,130,126,1915
130,134,120,1915
105,157,107,1915
106,155,108,1915
106,155,108,1915
110,153,109,1915
119,145,114,1915
126,137,121,1915
116,147,114,1915
121,144,116,1915
123,144,115,1915
101,150,112,1915
78,152,112,1915
116,143,118,1915
115,138,121,1915
94,142,117,1915
90,139,119,1915
114,143,117,1915
88,135,122,1915
48,139,120,1915
123,135,122,1915
73,166,102,1915
98,168,100,1915
134,147,112,1915
124,157,107,1915
78,179,97,1915
53,166,105,1915
71,170,102,1915
144,133,123,1915
161,135,120,1915
158,123,129,1915
161,118,132,1915
134,134,122,1915
126,139,118,1915
114,146,113,1915
101,157,107,1915
97,158,106,1915
95,156,107,1915
91,159,105,1915
96,153,110,1915
96,154,108,1915
110,144,116,1915
101,150,111,1915
107,146,114,1915
109,145,115,1915
114,140,118,1915
116,138,120,1915
118,137,121,1915
